,host_country,game_year,event,medal_type,athlete_country
200,japan,2020,taekwondo - women -57kg,silver,roc
201,japan,2020,taekwondo - women -57kg,bronze,turkey
202,japan,2020,taekwondo - men -58kg,bronze,south korea
203,japan,2020,taekwondo - men -58kg,silver,tunisia
204,japan,2020,taekwondo - men -58kg,bronze,roc
205,japan,2020,taekwondo - men -58kg,gold,italy
206,japan,2020,taekwondo - women -49kg,silver,spain
207,japan,2020,taekwondo - women -49kg,gold,thailand
208,japan,2020,taekwondo - women -49kg,bronze,serbia
209,japan,2020,taekwondo - women -49kg,bronze,israel
210,japan,2020,cycling track - men's sprint,gold,netherlands
211,japan,2020,cycling track - men's sprint,silver,netherlands
212,japan,2020,cycling track - men's sprint,bronze,great britain
213,japan,2020,cycling track - men's keirin,silver,malaysia
214,japan,2020,cycling track - men's keirin,bronze,netherlands
215,japan,2020,cycling track - men's keirin,gold,great britain
216,japan,2020,cycling track - women's keirin,silver,new zealand
217,japan,2020,cycling track - women's keirin,gold,netherlands
218,japan,2020,cycling track - women's keirin,bronze,canada
219,japan,2020,cycling track - women's sprint,silver,ukraine
220,japan,2020,cycling track - women's sprint,bronze,"hong kong, china"
221,japan,2020,cycling track - women's sprint,gold,canada
222,japan,2020,cycling track - men's omnium,gold,great britain
223,japan,2020,cycling track - men's omnium,bronze,italy
224,japan,2020,cycling track - men's omnium,silver,new zealand
225,japan,2020,cycling track - women's omnium,bronze,netherlands
226,japan,2020,cycling track - women's omnium,silver,japan
227,japan,2020,cycling track - women's omnium,gold,usa
228,japan,2020,fencing - women's foil individual,bronze,roc
229,japan,2020,fencing - women's foil individual,silver,roc
230,japan,2020,fencing - women's foil individual,gold,usa
231,japan,2020,fencing - women's épée individual,bronze,estonia
232,japan,2020,fencing - women's épée individual,silver,romania
233,japan,2020,fencing - women's épée individual,gold,china
234,japan,2020,fencing - men's foil individual,silver,italy
235,japan,2020,fencing - men's foil individual,gold,"hong kong, china"
236,japan,2020,fencing - men's foil individual,bronze,czechia
237,japan,2020,fencing - men's sabre individual,gold,hungary
238,japan,2020,fencing - men's sabre individual,silver,italy
239,japan,2020,fencing - men's sabre individual,bronze,south korea
240,japan,2020,fencing - men's épée individual,gold,france
241,japan,2020,fencing - men's épée individual,bronze,ukraine
242,japan,2020,fencing - men's épée individual,silver,hungary
243,japan,2020,fencing - women's sabre individual,bronze,france
244,japan,2020,fencing - women's sabre individual,silver,roc
245,japan,2020,fencing - women's sabre individual,gold,roc
246,japan,2020,badminton - men's singles,gold,denmark
247,japan,2020,badminton - men's singles,silver,china
248,japan,2020,badminton - men's singles,bronze,indonesia
249,japan,2020,badminton - women's singles,silver,chinese taipei
250,japan,2020,badminton - women's singles,gold,china
251,japan,2020,badminton - women's singles,bronze,india
252,japan,2020,sport climbing - men's combined,silver,usa
253,japan,2020,sport climbing - men's combined,bronze,austria
254,japan,2020,sport climbing - men's combined,gold,spain
255,japan,2020,sport climbing - women's combined,bronze,japan
256,japan,2020,sport climbing - women's combined,silver,japan
257,japan,2020,sport climbing - women's combined,gold,slovenia
258,japan,2020,wrestling - men's freestyle 57kg,silver,india
259,japan,2020,wrestling - men's freestyle 57kg,gold,roc
260,japan,2020,wrestling - men's freestyle 57kg,bronze,usa
261,japan,2020,wrestling - men's freestyle 57kg,bronze,kazakhstan
262,japan,2020,wrestling - women's freestyle 53kg,bronze,belarus
263,japan,2020,wrestling - women's freestyle 53kg,bronze,mongolia
264,japan,2020,wrestling - women's freestyle 53kg,silver,china
265,japan,2020,wrestling - women's freestyle 53kg,gold,japan
266,japan,2020,wrestling - men's greco-roman 97kg,silver,armenia
267,japan,2020,wrestling - men's greco-roman 97kg,gold,roc
268,japan,2020,wrestling - men's greco-roman 97kg,bronze,poland
269,japan,2020,wrestling - men's greco-roman 97kg,bronze,iran
270,japan,2020,wrestling - men's freestyle 74kg,silver,belarus
271,japan,2020,wrestling - men's freestyle 74kg,bronze,usa
272,japan,2020,wrestling - men's freestyle 74kg,gold,roc
273,japan,2020,wrestling - men's freestyle 74kg,bronze,uzbekistan
274,japan,2020,wrestling - men's freestyle 65kg,bronze,roc
275,japan,2020,wrestling - men's freestyle 65kg,silver,azerbaijan
276,japan,2020,wrestling - men's freestyle 65kg,gold,japan
277,japan,2020,wrestling - men's freestyle 65kg,bronze,india
278,japan,2020,wrestling - men's freestyle 86kg,bronze,san marino
279,japan,2020,wrestling - men's freestyle 86kg,gold,usa
280,japan,2020,wrestling - men's freestyle 86kg,bronze,roc
281,japan,2020,wrestling - men's freestyle 86kg,silver,iran
282,japan,2020,wrestling - men's greco-roman 77kg,bronze,azerbaijan
283,japan,2020,wrestling - men's greco-roman 77kg,silver,kyrgyzstan
284,japan,2020,wrestling - men's greco-roman 77kg,gold,hungary
285,japan,2020,wrestling - men's greco-roman 77kg,bronze,japan
286,japan,2020,wrestling - women's freestyle 68kg,silver,nigeria
287,japan,2020,wrestling - women's freestyle 68kg,bronze,kyrgyzstan
