,medal_type,participant_type,athlete_country,host_country,game_year
250,gold,Athlete,people's republic of china,japan,2020
251,bronze,Athlete,india,japan,2020
252,silver,Athlete,united states of america,japan,2020
253,bronze,Athlete,austria,japan,2020
254,gold,Athlete,spain,japan,2020
255,bronze,Athlete,japan,japan,2020
256,silver,Athlete,japan,japan,2020
257,gold,Athlete,slovenia,japan,2020
258,silver,Athlete,india,japan,2020
259,gold,Athlete,roc,japan,2020
260,bronze,Athlete,united states of america,japan,2020
261,bronze,Athlete,kazakhstan,japan,2020
262,bronze,Athlete,belarus,japan,2020
263,bronze,Athlete,mongolia,japan,2020
264,silver,Athlete,people's republic of china,japan,2020
265,gold,Athlete,japan,japan,2020
266,silver,Athlete,armenia,japan,2020
267,gold,Athlete,roc,japan,2020
268,bronze,Athlete,poland,japan,2020
269,bronze,Athlete,islamic republic of iran,japan,2020
270,silver,Athlete,belarus,japan,2020
271,bronze,Athlete,united states of america,japan,2020
272,gold,Athlete,roc,japan,2020
273,bronze,Athlete,uzbekistan,japan,2020
274,bronze,Athlete,roc,japan,2020
275,silver,Athlete,azerbaijan,japan,2020
276,gold,Athlete,japan,japan,2020
277,bronze,Athlete,india,japan,2020
278,bronze,Athlete,san marino,japan,2020
279,gold,Athlete,united states of america,japan,2020
280,bronze,Athlete,roc,japan,2020
281,silver,Athlete,islamic republic of iran,japan,2020
282,bronze,Athlete,azerbaijan,japan,2020
283,silver,Athlete,kyrgyzstan,japan,2020
284,gold,Athlete,hungary,japan,2020
285,bronze,Athlete,japan,japan,2020
286,silver,Athlete,nigeria,japan,2020
287,bronze,Athlete,kyrgyzstan,japan,2020
288,bronze,Athlete,ukraine,japan,2020
289,gold,Athlete,united states of america,japan,2020
290,bronze,Athlete,united states of america,japan,2020
291,gold,Athlete,japan,japan,2020
292,silver,Athlete,people's republic of china,japan,2020
293,bronze,Athlete,azerbaijan,japan,2020
294,gold,Athlete,islamic republic of iran,japan,2020
295,silver,Athlete,ukraine,japan,2020
296,bronze,Athlete,germany,japan,2020
297,bronze,Athlete,egypt,japan,2020
298,gold,Athlete,germany,japan,2020
299,silver,Athlete,united states of america,japan,2020
300,bronze,Athlete,turkey,japan,2020
301,bronze,Athlete,people's republic of china,japan,2020
302,silver,Athlete,georgia,japan,2020
303,bronze,Athlete,turkey,japan,2020
304,bronze,Athlete,roc,japan,2020
305,gold,Athlete,cuba,japan,2020
306,gold,Athlete,ukraine,japan,2020
307,silver,Athlete,hungary,japan,2020
308,bronze,Athlete,germany,japan,2020
309,bronze,Athlete,serbia,japan,2020
310,silver,Athlete,japan,japan,2020
311,bronze,Athlete,people's republic of china,japan,2020
312,bronze,Athlete,roc,japan,2020
313,gold,Athlete,cuba,japan,2020
314,gold,Athlete,japan,japan,2020
315,silver,Athlete,belarus,japan,2020
316,bronze,Athlete,united states of america,japan,2020
317,bronze,Athlete,bulgaria,japan,2020
318,silver,Athlete,georgia,japan,2020
319,bronze,Athlete,turkey,japan,2020
320,bronze,Athlete,islamic republic of iran,japan,2020
321,gold,Athlete,united states of america,japan,2020
322,bronze,Athlete,bulgaria,japan,2020
323,silver,Athlete,kyrgyzstan,japan,2020
324,bronze,Athlete,ukraine,japan,2020
325,gold,Athlete,japan,japan,2020
326,bronze,Athlete,cuba,japan,2020
327,silver,Athlete,united states of america,japan,2020
328,gold,Athlete,roc,japan,2020
329,bronze,Athlete,italy,japan,2020
330,gold,Athlete,germany,japan,2020
331,silver,Athlete,roc,japan,2020
332,bronze,Athlete,spain,japan,2020
333,silver,Athlete,czech republic,japan,2020
334,gold,Athlete,switzerland,japan,2020
335,bronze,Athlete,ukraine,japan,2020
336,silver,Athlete,united states of america,japan,2020
337,gold,Athlete,brazil,japan,2020
338,bronze,Athlete,republic of korea,japan,2020
339,bronze,Athlete,roc,japan,2020
340,gold,Athlete,japan,japan,2020
341,silver,Athlete,people's republic of china,japan,2020
342,bronze,Athlete,united states of america,japan,2020
343,gold,Athlete,people's republic of china,japan,2020
344,silver,Athlete,people's republic of china,japan,2020
345,bronze,Athlete,roc,japan,2020
346,gold,Athlete,united states of america,japan,2020
347,silver,Athlete,brazil,japan,2020
348,gold,Athlete,japan,japan,2020
349,bronze,Athlete,roc,japan,2020
350,silver,Athlete,croatia,japan,2020
351,bronze,Athlete,japan,japan,2020
352,gold,Athlete,great britain,japan,2020
353,silver,Athlete,chinese taipei,japan,2020
354,silver,Athlete,roc,japan,2020
355,bronze,Athlete,armenia,japan,2020
356,gold,Athlete,republic of korea,japan,2020
357,gold,Athlete,united states of america,japan,2020
358,silver,Athlete,italy,japan,2020
359,bronze,Athlete,roc,japan,2020
360,bronze,Athlete,japan,japan,2020
361,gold,Athlete,belgium,japan,2020
362,bronze,Athlete,united states of america,japan,2020
363,silver,Athlete,roc,japan,2020
364,bronze,Athlete,turkey,japan,2020
365,gold,Athlete,people's republic of china,japan,2020
366,silver,Athlete,germany,japan,2020
367,silver,Athlete,spain,japan,2020
368,gold,Athlete,israel,japan,2020
369,bronze,Athlete,people's republic of china,japan,2020
370,gold,Athlete,people's republic of china,japan,2020
371,bronze,Athlete,greece,japan,2020
372,silver,Athlete,people's republic of china,japan,2020
373,silver,Athlete,japan,japan,2020
374,bronze,Athlete,new zealand,japan,2020
375,gold,Athlete,united states of america,japan,2020
376,silver,Athlete,slovakia,japan,2020
377,bronze,Athlete,chinese taipei,japan,2020
378,gold,Athlete,united states of america,japan,2020
379,bronze,Athlete,switzerland,japan,2020
380,gold,Athlete,great britain,japan,2020
381,silver,Athlete,united states of america,japan,2020
382,gold,Athlete,australia,japan,2020
383,silver,Athlete,venezuela,japan,2020
384,bronze,Athlete,great britain,japan,2020
385,gold,Athlete,kosovo,japan,2020
386,silver,Athlete,france,japan,2020
387,bronze,Athlete,japan,japan,2020
388,bronze,Athlete,canada,japan,2020
389,bronze,Athlete,france,japan,2020
390,bronze,Athlete,azerbaijan,japan,2020
391,gold,Athlete,japan,japan,2020
392,silver,Athlete,cuba,japan,2020
393,bronze,Athlete,roc,japan,2020
394,gold,Athlete,japan,japan,2020
395,bronze,Athlete,netherlands,japan,2020
396,silver,Athlete,austria,japan,2020
397,gold,Athlete,japan,japan,2020
398,silver,Athlete,france,japan,2020
399,bronze,Athlete,brazil,japan,2020
400,bronze,Athlete,germany,japan,2020
401,gold,Athlete,japan,japan,2020
402,bronze,Athlete,austria,japan,2020
403,silver,Athlete,mongolia,japan,2020
404,bronze,Athlete,belgium,japan,2020
405,silver,Athlete,georgia,japan,2020
406,bronze,Athlete,republic of korea,japan,2020
407,bronze,Athlete,brazil,japan,2020
408,gold,Athlete,japan,japan,2020
409,bronze,Athlete,mongolia,japan,2020
410,silver,Athlete,georgia,japan,2020
411,gold,Athlete,japan,japan,2020
412,bronze,Athlete,republic of korea,japan,2020
413,gold,Athlete,kosovo,japan,2020
414,bronze,Athlete,ukraine,japan,2020
415,silver,Athlete,japan,japan,2020
416,bronze,Athlete,mongolia,japan,2020
417,bronze,Athlete,roc,japan,2020
418,bronze,Athlete,france,japan,2020
419,gold,Athlete,czech republic,japan,2020
420,silver,Athlete,georgia,japan,2020
421,bronze,Athlete,hungary,japan,2020
422,gold,Athlete,georgia,japan,2020
423,bronze,Athlete,uzbekistan,japan,2020
424,silver,Athlete,germany,japan,2020
425,gold,Athlete,japan,japan,2020
426,bronze,Athlete,portugal,japan,2020
427,silver,Athlete,republic of korea,japan,2020
428,bronze,Athlete,roc,japan,2020
429,gold,Athlete,japan,japan,2020
430,bronze,Athlete,kazakhstan,japan,2020
431,bronze,Athlete,france,japan,2020
432,silver,Athlete,chinese taipei,japan,2020
433,silver,Athlete,slovenia,japan,2020
434,bronze,Athlete,italy,japan,2020
435,gold,Athlete,france,japan,2020
436,bronze,Athlete,canada,japan,2020
437,gold,Athlete,japan,japan,2020
438,bronze,Athlete,great britain,japan,2020
439,bronze,Athlete,italy,japan,2020
440,silver,Athlete,france,japan,2020
441,gold,Athlete,japan,japan,2020
442,silver,Athlete,brazil,japan,2020
443,bronze,Athlete,japan,japan,2020
444,silver,Athlete,brazil,japan,2020
445,gold,Athlete,australia,japan,2020
446,bronze,Athlete,united states of america,japan,2020
447,bronze,Athlete,great britain,japan,2020
448,silver,Athlete,japan,japan,2020
449,gold,Athlete,japan,japan,2020
450,gold,Athlete,japan,japan,2020
451,bronze,Athlete,united states of america,japan,2020
452,silver,Athlete,brazil,japan,2020
453,gold,Athlete,republic of korea,japan,2020
454,silver,Athlete,roc,japan,2020
455,bronze,Athlete,italy,japan,2020
456,bronze,Athlete,japan,japan,2020
457,gold,Athlete,turkey,japan,2020
458,silver,Athlete,italy,japan,2020
459,silver,Athlete,indonesia,japan,2020
460,gold,Athlete,people's republic of china,japan,2020
461,bronze,Athlete,kazakhstan,japan,2020
462,silver,Athlete,people's republic of china,japan,2020
463,bronze,Athlete,kazakhstan,japan,2020
464,gold,Athlete,philippines,japan,2020
465,bronze,Athlete,italy,japan,2020
466,silver,Athlete,colombia,japan,2020
467,gold,Athlete,people's republic of china,japan,2020
468,gold,Athlete,people's republic of china,japan,2020
469,silver,Athlete,dominican republic,japan,2020
470,bronze,Athlete,italy,japan,2020
471,bronze,Athlete,united states of america,japan,2020
472,silver,Athlete,great britain,japan,2020
473,gold,Athlete,people's republic of china,japan,2020
474,silver,Athlete,ecuador,japan,2020
475,bronze,Athlete,dominican republic,japan,2020
476,gold,Athlete,people's republic of china,japan,2020
477,bronze,Athlete,syrian arab republic,japan,2020
478,gold,Athlete,georgia,japan,2020
479,silver,Athlete,islamic republic of iran,japan,2020
480,silver,Athlete,turkmenistan,japan,2020
481,bronze,Athlete,japan,japan,2020
482,gold,Athlete,chinese taipei,japan,2020
483,gold,Athlete,canada,japan,2020
484,silver,Athlete,italy,japan,2020
485,bronze,Athlete,chinese taipei,japan,2020
486,gold,Athlete,people's republic of china,japan,2020
487,silver,Athlete,venezuela,japan,2020
488,bronze,Athlete,indonesia,japan,2020
489,silver,Athlete,india,japan,2020
490,bronze,Athlete,indonesia,japan,2020
491,gold,Athlete,people's republic of china,japan,2020
492,silver,Athlete,venezuela,japan,2020
493,gold,Athlete,qatar,japan,2020
494,bronze,Athlete,georgia,japan,2020
495,bronze,Athlete,mexico,japan,2020
496,gold,Athlete,ecuador,japan,2020
497,silver,Athlete,united states of america,japan,2020
498,silver,Athlete,armenia,japan,2020
499,bronze,Athlete,latvia,japan,2020
500,gold,Athlete,uzbekistan,japan,2020
501,gold,Athlete,germany,japan,2020
502,silver,Athlete,great britain,japan,2020
503,bronze,Athlete,australia,japan,2020
504,silver,Athlete,germany,japan,2020
505,bronze,Athlete,great britain,japan,2020
506,gold,Athlete,germany,japan,2020
507,bronze,Athlete,netherlands,japan,2020
508,gold,Athlete,great britain,japan,2020
509,silver,Athlete,sweden,japan,2020
510,bronze,Athlete,republic of korea,japan,2020
511,silver,Athlete,egypt,japan,2020
512,gold,Athlete,great britain,japan,2020
513,bronze,Athlete,hungary,japan,2020
514,gold,Athlete,great britain,japan,2020
515,silver,Athlete,lithuania,japan,2020
516,gold,Athlete,kenya,japan,2020
517,bronze,Athlete,netherlands,japan,2020
518,silver,Athlete,great britain,japan,2020
519,bronze,Athlete,burkina faso,japan,2020
520,silver,Athlete,people's republic of china,japan,2020
521,gold,Athlete,portugal,japan,2020
522,gold,Athlete,uganda,japan,2020
523,silver,Athlete,united states of america,japan,2020
524,bronze,Athlete,kenya,japan,2020
525,gold,Athlete,united states of america,japan,2020
526,bronze,Athlete,new zealand,japan,2020
527,silver,Athlete,united states of america,japan,2020
528,silver,Athlete,united states of america,japan,2020
529,bronze,Athlete,nigeria,japan,2020
530,gold,Athlete,germany,japan,2020
531,gold,Athlete,netherlands,japan,2020
532,bronze,Athlete,ethiopia,japan,2020
533,silver,Athlete,kenya,japan,2020
534,gold,Athlete,kenya,japan,2020
535,bronze,Athlete,belgium,japan,2020
536,silver,Athlete,netherlands,japan,2020
537,bronze,Athlete,australia,japan,2020
538,gold,Athlete,people's republic of china,japan,2020
539,silver,Athlete,poland,japan,2020
540,bronze,Athlete,jamaica,japan,2020
541,gold,Athlete,jamaica,japan,2020
542,silver,Athlete,united states of america,japan,2020
543,gold,Athlete,greece,japan,2020
544,bronze,Athlete,cuba,japan,2020
545,silver,Athlete,cuba,japan,2020
546,gold,Athlete,india,japan,2020
547,bronze,Athlete,czech republic,japan,2020
548,silver,Athlete,czech republic,japan,2020
549,silver,Athlete,germany,japan,2020
550,bronze,Athlete,canada,japan,2020
551,gold,Athlete,poland,japan,2020
552,bronze,Athlete,united states of america,japan,2020
553,silver,Athlete,united states of america,japan,2020
554,gold,Athlete,canada,japan,2020
555,bronze,Athlete,united states of america,japan,2020
556,silver,Athlete,dominican republic,japan,2020
