,medal_type,participant_type,athlete_country,host_country,game_year
8223,silver,Athlete,united states of america,mexico,1968
8224,bronze,Athlete,german democratic republic (germany),mexico,1968
8225,gold,Athlete,united states of america,mexico,1968
8226,silver,Athlete,united states of america,mexico,1968
8227,bronze,Athlete,united states of america,mexico,1968
8228,gold,Athlete,mexico,mexico,1968
8229,silver,Athlete,soviet union,mexico,1968
8230,bronze,Athlete,united states of america,mexico,1968
8231,gold,Athlete,united states of america,mexico,1968
8232,silver,Athlete,soviet union,mexico,1968
8233,bronze,Athlete,soviet union,mexico,1968
8234,gold,Athlete,united states of america,mexico,1968
8235,silver,Athlete,yugoslavia,mexico,1968
8236,bronze,Athlete,soviet union,mexico,1968
8237,gold,Athlete,united states of america,mexico,1968
8238,silver,Athlete,united states of america,mexico,1968
8239,bronze,Athlete,federal republic of germany,mexico,1968
8240,gold,Athlete,united states of america,mexico,1968
8241,silver,Athlete,canada,mexico,1968
8242,bronze,Athlete,united states of america,mexico,1968
8243,gold,Athlete,australia,mexico,1968
8244,silver,Athlete,united states of america,mexico,1968
8245,bronze,Athlete,united states of america,mexico,1968
8246,gold,Athlete,united states of america,mexico,1968
8247,silver,Athlete,united states of america,mexico,1968
8248,bronze,Athlete,australia,mexico,1968
8249,gold,Athlete,united states of america,mexico,1968
8250,silver,Athlete,great britain,mexico,1968
8251,bronze,Athlete,united states of america,mexico,1968
8252,gold,Athlete,netherlands,mexico,1968
8253,silver,Athlete,federal republic of germany,mexico,1968
8254,bronze,Athlete,argentina,mexico,1968
8255,gold,Athlete,hungary,mexico,1968
8256,silver,Athlete,soviet union,mexico,1968
8257,bronze,Athlete,italy,mexico,1968
8258,gold,Athlete,soviet union,mexico,1968
8259,silver,Athlete,mexico,mexico,1968
8260,bronze,Athlete,hungary,mexico,1968
8261,gold,Athlete,poland,mexico,1968
8262,silver,Athlete,soviet union,mexico,1968
8263,bronze,Athlete,hungary,mexico,1968
8264,gold,Athlete,romania,mexico,1968
8265,silver,Athlete,hungary,mexico,1968
8266,bronze,Athlete,france,mexico,1968
8267,gold,Athlete,soviet union,mexico,1968
8268,silver,Athlete,romania,mexico,1968
8269,bronze,Athlete,bulgaria,mexico,1968
8270,bronze,Athlete,poland,mexico,1968
8271,gold,Athlete,soviet union,mexico,1968
8272,silver,Athlete,cuba,mexico,1968
8273,bronze,Athlete,united states of america,mexico,1968
8274,bronze,Athlete,federal republic of germany,mexico,1968
8275,gold,Athlete,united states of america,mexico,1968
8276,silver,Athlete,soviet union,mexico,1968
8277,bronze,Athlete,italy,mexico,1968
8278,bronze,Athlete,mexico,mexico,1968
8279,gold,Athlete,mexico,mexico,1968
8280,silver,Athlete,united states of america,mexico,1968
8281,bronze,Athlete,kenya,mexico,1968
8282,bronze,Athlete,bulgaria,mexico,1968
8283,gold,Athlete,venezuela,mexico,1968
8284,silver,Athlete,republic of korea,mexico,1968
8285,bronze,Athlete,united states of america,mexico,1968
8286,bronze,Athlete,poland,mexico,1968
8287,gold,Athlete,soviet union,mexico,1968
8288,silver,Athlete,uganda,mexico,1968
8289,bronze,Athlete,japan,mexico,1968
8290,bronze,Athlete,republic of korea,mexico,1968
8291,gold,Athlete,united states of america,mexico,1968
8292,silver,Athlete,poland,mexico,1968
8293,bronze,Athlete,romania,mexico,1968
8294,bronze,Athlete,yugoslavia,mexico,1968
8295,gold,Athlete,mexico,mexico,1968
8296,silver,Athlete,poland,mexico,1968
8297,bronze,Athlete,brazil,mexico,1968
8298,bronze,Athlete,uganda,mexico,1968
8299,gold,Athlete,poland,mexico,1968
8300,silver,Athlete,cuba,mexico,1968
8301,bronze,Athlete,finland,mexico,1968
8302,bronze,Athlete,united states of america,mexico,1968
8303,gold,Athlete,german democratic republic (germany),mexico,1968
8304,silver,Athlete,cameroon,mexico,1968
8305,bronze,Athlete,soviet union,mexico,1968
8306,bronze,Athlete,argentina,mexico,1968
8307,gold,Athlete,great britain,mexico,1968
8308,silver,Athlete,soviet union,mexico,1968
8309,bronze,Athlete,mexico,mexico,1968
8310,bronze,Athlete,united states of america,mexico,1968
8311,gold,Athlete,united states of america,mexico,1968
8312,silver,Athlete,united states of america,mexico,1968
8313,bronze,Athlete,united states of america,mexico,1968
8314,gold,Athlete,hungary,mexico,1968
8315,silver,Athlete,romania,mexico,1968
8316,bronze,Athlete,austria,mexico,1968
8317,gold,Athlete,united states of america,mexico,1968
8318,silver,Athlete,united states of america,mexico,1968
8319,bronze,Athlete,poland,mexico,1968
8320,gold,Athlete,united states of america,mexico,1968
8321,silver,Athlete,german democratic republic (germany),mexico,1968
8322,bronze,Athlete,czechoslovakia,mexico,1968
8323,gold,Athlete,united states of america,mexico,1968
8324,silver,Athlete,federal republic of germany,mexico,1968
8325,bronze,Athlete,federal republic of germany,mexico,1968
8326,gold,Athlete,german democratic republic (germany),mexico,1968
8327,silver,Athlete,german democratic republic (germany),mexico,1968
8328,bronze,Athlete,soviet union,mexico,1968
8329,gold,Athlete,united states of america,mexico,1968
8330,silver,Athlete,jamaica,mexico,1968
8331,bronze,Athlete,united states of america,mexico,1968
8332,gold,Athlete,united states of america,mexico,1968
8333,silver,Athlete,united states of america,mexico,1968
8334,bronze,Athlete,soviet union,mexico,1968
8335,gold,Athlete,federal republic of germany,mexico,1968
8336,silver,Athlete,austria,mexico,1968
8337,bronze,Athlete,hungary,mexico,1968
8338,gold,Athlete,kenya,mexico,1968
8339,silver,Athlete,united states of america,mexico,1968
8340,bronze,Athlete,federal republic of germany,mexico,1968
8341,gold,Athlete,united states of america,mexico,1968
8342,silver,Athlete,united states of america,mexico,1968
8343,bronze,Athlete,soviet union,mexico,1968
8344,gold,Athlete,great britain,mexico,1968
8345,silver,Athlete,federal republic of germany,mexico,1968
8346,bronze,Athlete,great britain,mexico,1968
8347,gold,Athlete,france,mexico,1968
8348,silver,Athlete,great britain,mexico,1968
8349,bronze,Athlete,soviet union,mexico,1968
8350,gold,Athlete,hungary,mexico,1968
8351,silver,Athlete,soviet union,mexico,1968
8352,bronze,Athlete,hungary,mexico,1968
8353,gold,Athlete,soviet union,mexico,1968
8354,silver,Athlete,finland,mexico,1968
8355,bronze,Athlete,hungary,mexico,1968
8356,gold,Athlete,tunisia,mexico,1968
8357,silver,Athlete,kenya,mexico,1968
8358,bronze,Athlete,kenya,mexico,1968
8359,gold,Athlete,soviet union,mexico,1968
8360,silver,Athlete,mexico,mexico,1968
8361,bronze,Athlete,soviet union,mexico,1968
8362,gold,Athlete,poland,mexico,1968
8363,silver,Athlete,australia,mexico,1968
8364,bronze,Athlete,australia,mexico,1968
8365,gold,Athlete,united states of america,mexico,1968
8366,silver,Athlete,united states of america,mexico,1968
8367,bronze,Athlete,italy,mexico,1968
8368,gold,Athlete,ethiopia,mexico,1968
8369,silver,Athlete,japan,mexico,1968
8370,bronze,Athlete,new zealand,mexico,1968
8371,gold,Athlete,romania,mexico,1968
8372,silver,Athlete,federal republic of germany,mexico,1968
8373,bronze,Athlete,hungary,mexico,1968
8374,gold,Athlete,czechoslovakia,mexico,1968
8375,silver,Athlete,soviet union,mexico,1968
8376,bronze,Athlete,soviet union,mexico,1968
8377,gold,Athlete,kenya,mexico,1968
8378,silver,Athlete,kenya,mexico,1968
8379,bronze,Athlete,united states of america,mexico,1968
8380,gold,Athlete,united states of america,mexico,1968
8381,silver,Athlete,romania,mexico,1968
8382,bronze,Athlete,netherlands,mexico,1968
8383,gold,Athlete,united states of america,mexico,1968
8384,silver,Athlete,german democratic republic (germany),mexico,1968
8385,bronze,Athlete,united states of america,mexico,1968
8386,gold,Athlete,australia,mexico,1968
8387,silver,Athlete,australia,mexico,1968
8388,bronze,Athlete,chinese taipei,mexico,1968
8389,gold,Athlete,kenya,mexico,1968
8390,silver,Athlete,ethiopia,mexico,1968
8391,bronze,Athlete,tunisia,mexico,1968
8392,gold,Athlete,australia,mexico,1968
8393,silver,Athlete,kenya,mexico,1968
8394,bronze,Athlete,united states of america,mexico,1968
8395,gold,Athlete,united states of america,mexico,1968
8396,silver,Athlete,federal republic of germany,mexico,1968
8397,bronze,Athlete,german democratic republic (germany),mexico,1968
8398,gold,Athlete,united states of america,mexico,1968
8399,silver,Athlete,australia,mexico,1968
8400,bronze,Athlete,united states of america,mexico,1968
8401,gold,Athlete,soviet union,mexico,1968
8402,silver,Athlete,brazil,mexico,1968
8403,bronze,Athlete,italy,mexico,1968
8404,gold,Athlete,romania,mexico,1968
8405,silver,Athlete,great britain,mexico,1968
8406,bronze,Athlete,soviet union,mexico,1968
8407,gold,Athlete,german democratic republic (germany),mexico,1968
8408,silver,Athlete,hungary,mexico,1968
8409,bronze,Athlete,united states of america,mexico,1968
8410,gold,Athlete,france,mexico,1968
8411,silver,Athlete,great britain,mexico,1968
8412,bronze,Athlete,united states of america,mexico,1968
8413,gold,Athlete,soviet union,mexico,1968
8414,silver,Athlete,federal republic of germany,mexico,1968
8415,bronze,Athlete,romania,mexico,1968
8416,gold,Athlete,hungary,mexico,1968
8417,silver,Athlete,federal republic of germany,mexico,1968
8418,bronze,Athlete,soviet union,mexico,1968
8419,gold,Athlete,hungary,mexico,1968
8420,silver,Athlete,soviet union,mexico,1968
8421,bronze,Athlete,denmark,mexico,1968
8422,gold,Athlete,soviet union,mexico,1968
8423,silver,Athlete,austria,mexico,1968
8424,bronze,Athlete,italy,mexico,1968
8425,gold,Athlete,sweden,mexico,1968
8426,silver,Athlete,hungary,mexico,1968
8427,bronze,Athlete,soviet union,mexico,1968
8428,gold,Athlete,united states of america,mexico,1968
8429,silver,Athlete,great britain,mexico,1968
8430,bronze,Athlete,great britain,mexico,1968
8431,gold,Athlete,soviet union,mexico,1968
8432,silver,Athlete,federal republic of germany,mexico,1968
8433,bronze,Athlete,federal republic of germany,mexico,1968
8434,gold,Athlete,hungary,japan,1964
8435,silver,Athlete,soviet union,japan,1964
8436,bronze,Athlete,soviet union,japan,1964
8437,gold,Athlete,germany,japan,1964
8438,silver,Athlete,united states of america,japan,1964
8439,bronze,Athlete,denmark,japan,1964
8440,gold,Athlete,soviet union,japan,1964
8441,silver,Athlete,bulgaria,japan,1964
8442,bronze,Athlete,turkey,japan,1964
8443,gold,Athlete,japan,japan,1964
8444,silver,Athlete,soviet union,japan,1964
8445,bronze,Athlete,romania,japan,1964
8446,gold,Athlete,japan,japan,1964
8447,silver,Athlete,turkey,japan,1964
8448,bronze,Athlete,soviet union,japan,1964
8449,gold,Athlete,japan,japan,1964
8450,silver,Athlete,republic of korea,japan,1964
8451,bronze,Athlete,islamic republic of iran,japan,1964
8452,gold,Athlete,soviet union,japan,1964
8453,silver,Athlete,turkey,japan,1964
8454,bronze,Athlete,bulgaria,japan,1964
8455,gold,Athlete,soviet union,japan,1964
8456,silver,Athlete,bulgaria,japan,1964
8457,bronze,Athlete,sweden,japan,1964
8458,gold,Athlete,hungary,japan,1964
8459,silver,Athlete,soviet union,japan,1964
8460,bronze,Athlete,germany,japan,1964
8461,gold,Athlete,yugoslavia,japan,1964
8462,silver,Athlete,czechoslovakia,japan,1964
8463,bronze,Athlete,germany,japan,1964
8464,gold,Athlete,hungary,japan,1964
8465,silver,Athlete,soviet union,japan,1964
8466,bronze,Athlete,yugoslavia,japan,1964
8467,gold,Athlete,bulgaria,japan,1964
8468,silver,Athlete,turkey,japan,1964
8469,bronze,Athlete,united states of america,japan,1964
8470,gold,Athlete,turkey,japan,1964
8471,silver,Athlete,soviet union,japan,1964
8472,bronze,Athlete,islamic republic of iran,japan,1964
8473,gold,Athlete,turkey,japan,1964
8474,silver,Athlete,romania,japan,1964
8475,bronze,Athlete,soviet union,japan,1964
8476,gold,Athlete,bulgaria,japan,1964
8477,silver,Athlete,germany,japan,1964
8478,bronze,Athlete,japan,japan,1964
8479,gold,Athlete,japan,japan,1964
8480,silver,Athlete,bulgaria,japan,1964
8481,bronze,Athlete,soviet union,japan,1964
8482,gold,Athlete,japan,japan,1964
8483,silver,Athlete,bulgaria,japan,1964
8484,bronze,Athlete,romania,japan,1964
8485,gold,Athlete,bulgaria,japan,1964
8486,silver,Athlete,sweden,japan,1964
8487,bronze,Athlete,germany,japan,1964
8488,gold,Athlete,soviet union,japan,1964
8489,silver,Athlete,germany,japan,1964
8490,bronze,Athlete,italy,japan,1964
8491,bronze,Athlete,poland,japan,1964
8492,gold,Athlete,poland,japan,1964
8493,silver,Athlete,soviet union,japan,1964
8494,bronze,Athlete,united states of america,japan,1964
8495,bronze,Athlete,ireland,japan,1964
8496,gold,Athlete,poland,japan,1964
8497,silver,Athlete,soviet union,japan,1964
8498,bronze,Athlete,finland,japan,1964
8499,bronze,Athlete,italy,japan,1964
8500,gold,Athlete,italy,japan,1964
8501,silver,Athlete,poland,japan,1964
8502,bronze,Athlete,united states of america,japan,1964
8503,bronze,Athlete,soviet union,japan,1964
8504,gold,Athlete,soviet union,japan,1964
8505,silver,Athlete,philippines,japan,1964
8506,bronze,Athlete,united states of america,japan,1964
8507,bronze,Athlete,germany,japan,1964
8508,gold,Athlete,japan,japan,1964
8509,silver,Athlete,republic of korea,japan,1964
8510,bronze,Athlete,mexico,japan,1964
8511,bronze,Athlete,uruguay,japan,1964
8512,gold,Athlete,italy,japan,1964
8513,silver,Athlete,soviet union,japan,1964
8514,bronze,Athlete,bulgaria,japan,1964
8515,bronze,Athlete,poland,japan,1964
8516,gold,Athlete,united states of america,japan,1964
8517,silver,Athlete,germany,japan,1964
8518,bronze,Athlete,italy,japan,1964
8519,bronze,Athlete,soviet union,japan,1964
8520,gold,Athlete,soviet union,japan,1964
8521,silver,Athlete,france,japan,1964
8522,bronze,Athlete,nigeria,japan,1964
8523,bronze,Athlete,poland,japan,1964
8524,gold,Athlete,poland,japan,1964
8525,silver,Athlete,soviet union,japan,1964
8526,bronze,Athlete,ghana,japan,1964
8527,bronze,Athlete,tunisia,japan,1964
8528,gold,Athlete,soviet union,japan,1964
8529,silver,Athlete,germany,japan,1964
8530,bronze,Athlete,switzerland,japan,1964
8531,gold,Athlete,italy,japan,1964
8532,silver,Athlete,italy,japan,1964
8533,bronze,Athlete,france,japan,1964
8534,gold,Athlete,belgium,japan,1964
8535,silver,Athlete,italy,japan,1964
8536,bronze,Athlete,france,japan,1964
8537,gold,Athlete,czechoslovakia,japan,1964
8538,silver,Athlete,italy,japan,1964
8539,bronze,Athlete,denmark,japan,1964
8540,gold,Athlete,italy,japan,1964
8541,silver,Athlete,denmark,japan,1964
8542,bronze,Athlete,belgium,japan,1964
8543,gold,Athlete,france,japan,1964
8544,silver,Athlete,germany,japan,1964
8545,bronze,Athlete,great britain,japan,1964
8546,gold,Athlete,netherlands,japan,1964
8547,silver,Athlete,japan,japan,1964
8548,bronze,Athlete,germany,japan,1964
8549,bronze,Athlete,australia,japan,1964
8550,gold,Athlete,japan,japan,1964
8551,silver,Athlete,switzerland,japan,1964
8552,bronze,Athlete,soviet union,japan,1964
8553,bronze,Athlete,soviet union,japan,1964
8554,gold,Athlete,japan,japan,1964
8555,silver,Athlete,canada,japan,1964
8556,bronze,Athlete,soviet union,japan,1964
8557,bronze,Athlete,soviet union,japan,1964
8558,gold,Athlete,japan,japan,1964
8559,silver,Athlete,germany,japan,1964
8560,bronze,Athlete,united states of america,japan,1964
8561,bronze,Athlete,republic of korea,japan,1964
8562,gold,Athlete,germany,japan,1964
8563,silver,Athlete,united states of america,japan,1964
8564,bronze,Athlete,united states of america,japan,1964
8565,gold,Athlete,united states of america,japan,1964
8566,silver,Athlete,italy,japan,1964
8567,bronze,Athlete,united states of america,japan,1964
8568,gold,Athlete,united states of america,japan,1964
8569,silver,Athlete,united states of america,japan,1964
8570,bronze,Athlete,united states of america,japan,1964
8571,gold,Athlete,united states of america,japan,1964
8572,silver,Athlete,germany,japan,1964
8573,bronze,Athlete,soviet union,japan,1964
8574,gold,Athlete,italy,japan,1964
8575,silver,Athlete,argentina,japan,1964
8576,bronze,Athlete,germany,japan,1964
8577,gold,Athlete,united states of america,japan,1964
8578,silver,Athlete,germany,japan,1964
8579,bronze,Athlete,australia,japan,1964
8580,gold,Athlete,united states of america,japan,1964
8581,silver,Athlete,netherlands,japan,1964
8582,bronze,Athlete,united states of america,japan,1964
8583,gold,Athlete,australia,japan,1964
8584,silver,Athlete,united states of america,japan,1964
8585,bronze,Athlete,united states of america,japan,1964
8586,gold,Athlete,united states of america,japan,1964
8587,silver,Athlete,france,japan,1964
8588,bronze,Athlete,united states of america,japan,1964
8589,gold,Athlete,united states of america,japan,1964
8590,silver,Athlete,united states of america,japan,1964
8591,bronze,Athlete,germany,japan,1964
8592,gold,Athlete,australia,japan,1964
8593,silver,Athlete,united states of america,japan,1964
8594,bronze,Athlete,united states of america,japan,1964
8595,gold,Athlete,australia,japan,1964
8596,silver,Athlete,united states of america,japan,1964
8597,bronze,Athlete,australia,japan,1964
8598,gold,Athlete,soviet union,japan,1964
8599,silver,Athlete,united states of america,japan,1964
8600,bronze,Athlete,soviet union,japan,1964
8601,gold,Athlete,united states of america,japan,1964
8602,silver,Athlete,great britain,japan,1964
8603,bronze,Athlete,germany,japan,1964
8604,gold,Athlete,united states of america,japan,1964
8605,silver,Athlete,united states of america,japan,1964
8606,bronze,Athlete,united states of america,japan,1964
8607,gold,Athlete,australia,japan,1964
8608,silver,Athlete,soviet union,japan,1964
8609,bronze,Athlete,united states of america,japan,1964
8610,gold,Athlete,united states of america,japan,1964
8611,silver,Athlete,united states of america,japan,1964
8612,bronze,Athlete,united states of america,japan,1964
8613,gold,Athlete,united states of america,japan,1964
8614,silver,Athlete,united states of america,japan,1964
8615,bronze,Athlete,united states of america,japan,1964
8616,gold,Athlete,hungary,japan,1964
8617,silver,Athlete,germany,japan,1964
8618,bronze,Athlete,italy,japan,1964
8619,gold,Athlete,soviet union,japan,1964
8620,silver,Athlete,great britain,japan,1964
8621,bronze,Athlete,soviet union,japan,1964
8622,gold,Athlete,poland,japan,1964
8623,silver,Athlete,france,japan,1964
8624,bronze,Athlete,france,japan,1964
8625,gold,Athlete,hungary,japan,1964
8626,silver,Athlete,france,japan,1964
8627,bronze,Athlete,soviet union,japan,1964
8628,gold,Athlete,czechoslovakia,japan,1964
8629,silver,Athlete,soviet union,japan,1964
8630,bronze,Athlete,japan,japan,1964
8631,gold,Athlete,poland,japan,1964
8632,silver,Athlete,soviet union,japan,1964
8633,bronze,Athlete,poland,japan,1964
8634,gold,Athlete,soviet union,japan,1964
8635,silver,Athlete,hungary,japan,1964
8636,bronze,Athlete,japan,japan,1964
8637,gold,Athlete,soviet union,japan,1964
8638,silver,Athlete,soviet union,japan,1964
8639,bronze,Athlete,united states of america,japan,1964
8640,gold,Athlete,japan,japan,1964
8641,silver,Athlete,united states of america,japan,1964
8642,bronze,Athlete,poland,japan,1964
8643,gold,Athlete,soviet union,japan,1964
8644,silver,Athlete,great britain,japan,1964
8645,bronze,Athlete,poland,japan,1964
8646,gold,Athlete,soviet union,japan,1964
8647,silver,Athlete,hungary,japan,1964
8648,bronze,Athlete,hungary,japan,1964
8649,gold,Athlete,czechoslovakia,japan,1964
8650,silver,Athlete,soviet union,japan,1964
8651,bronze,Athlete,soviet union,japan,1964
8652,gold,Athlete,soviet union,japan,1964
8653,silver,Athlete,soviet union,japan,1964
8654,bronze,Athlete,yugoslavia,japan,1964
8655,gold,Athlete,czechoslovakia,japan,1964
8656,silver,Athlete,soviet union,japan,1964
8657,silver,Athlete,germany,japan,1964
8658,gold,Athlete,japan,japan,1964
8659,silver,Athlete,japan,japan,1964
8660,silver,Athlete,soviet union,japan,1964
8661,silver,Athlete,soviet union,japan,1964
8662,gold,Athlete,yugoslavia,japan,1964
8663,silver,Athlete,japan,japan,1964
8664,bronze,Athlete,soviet union,japan,1964
8665,gold,Athlete,czechoslovakia,japan,1964
8666,silver,Athlete,soviet union,japan,1964
8667,bronze,Athlete,soviet union,japan,1964
8668,gold,Athlete,japan,japan,1964
8669,silver,Athlete,japan,japan,1964
8670,bronze,Athlete,italy,japan,1964
8671,gold,Athlete,italy,japan,1964
8672,silver,Athlete,soviet union,japan,1964
8673,silver,Athlete,japan,japan,1964
8674,gold,Athlete,soviet union,japan,1964
8675,silver,Athlete,hungary,japan,1964
8676,bronze,Athlete,soviet union,japan,1964
8677,gold,Athlete,japan,japan,1964
8678,silver,Athlete,italy,japan,1964
8679,bronze,Athlete,soviet union,japan,1964
8680,gold,Athlete,japan,japan,1964
8681,silver,Athlete,soviet union,japan,1964
8682,bronze,Athlete,finland,japan,1964
8683,gold,Athlete,soviet union,japan,1964
8684,silver,Athlete,soviet union,japan,1964
8685,bronze,Athlete,hungary,japan,1964
8686,gold,Athlete,great britain,japan,1964
8687,silver,Athlete,germany,japan,1964
8688,bronze,Athlete,soviet union,japan,1964
8689,gold,Athlete,united states of america,japan,1964
8690,silver,Athlete,united states of america,japan,1964
8691,bronze,Athlete,soviet union,japan,1964
8692,gold,Athlete,italy,japan,1964
8693,silver,Athlete,great britain,japan,1964
8694,bronze,Athlete,sweden,japan,1964
8695,gold,Athlete,germany,japan,1964
8696,silver,Athlete,soviet union,japan,1964
8697,bronze,Athlete,germany,japan,1964
8698,gold,Athlete,great britain,japan,1964
8699,silver,Athlete,poland,japan,1964
8700,bronze,Athlete,soviet union,japan,1964
8701,gold,Athlete,romania,japan,1964
8702,silver,Athlete,australia,japan,1964
8703,bronze,Athlete,soviet union,japan,1964
8704,gold,Athlete,united states of america,japan,1964
8705,silver,Athlete,great britain,japan,1964
8706,bronze,Athlete,italy,japan,1964
8707,gold,Athlete,great britain,japan,1964
8708,silver,Athlete,france,japan,1964
8709,bronze,Athlete,new zealand,japan,1964
8710,gold,Athlete,soviet union,japan,1964
8711,silver,Athlete,hungary,japan,1964
8712,bronze,Athlete,germany,japan,1964
8713,gold,Athlete,ethiopia,japan,1964
8714,silver,Athlete,great britain,japan,1964
8715,bronze,Athlete,japan,japan,1964
8716,gold,Athlete,soviet union,japan,1964
8717,silver,Athlete,great britain,japan,1964
8718,bronze,Athlete,soviet union,japan,1964
8719,gold,Athlete,united states of america,japan,1964
8720,silver,Athlete,trinidad and tobago,japan,1964
8721,bronze,Athlete,poland,japan,1964
8722,gold,Athlete,united states of america,japan,1964
8723,silver,Athlete,poland,japan,1964
8724,bronze,Athlete,australia,japan,1964
8725,gold,Athlete,united states of america,japan,1964
8726,silver,Athlete,czechoslovakia,japan,1964
8727,bronze,Athlete,united states of america,japan,1964
8728,gold,Athlete,soviet union,japan,1964
8729,silver,Athlete,germany,japan,1964
8730,bronze,Athlete,romania,japan,1964
8731,gold,Athlete,new zealand,japan,1964
8732,silver,Athlete,canada,japan,1964
8733,bronze,Athlete,kenya,japan,1964
8734,gold,Athlete,finland,japan,1964
8735,silver,Athlete,hungary,japan,1964
8736,bronze,Athlete,soviet union,japan,1964
8737,gold,Athlete,united states of america,japan,1964
8738,silver,Athlete,united states of america,japan,1964
8739,bronze,Athlete,poland,japan,1964
8740,gold,Athlete,soviet union,japan,1964
8741,silver,Athlete,united states of america,japan,1964
8742,bronze,Athlete,united states of america,japan,1964
8743,gold,Athlete,belgium,japan,1964
8744,silver,Athlete,great britain,japan,1964
8745,bronze,Athlete,soviet union,japan,1964
8746,gold,Athlete,united states of america,japan,1964
8747,silver,Athlete,tunisia,japan,1964
8748,bronze,Athlete,australia,japan,1964
8749,gold,Athlete,new zealand,japan,1964
8750,silver,Athlete,czechoslovakia,japan,1964
8751,bronze,Athlete,new zealand,japan,1964
8752,gold,Athlete,poland,japan,1964
8753,silver,Athlete,soviet union,japan,1964
8754,bronze,Athlete,soviet union,japan,1964
8755,gold,Athlete,united states of america,japan,1964
8756,silver,Athlete,united states of america,japan,1964
8757,bronze,Athlete,hungary,japan,1964
8758,gold,Athlete,germany,japan,1964
8759,silver,Athlete,poland,japan,1964
8760,bronze,Athlete,australia,japan,1964
8761,gold,Athlete,soviet union,japan,1964
8762,silver,Athlete,germany,japan,1964
8763,bronze,Athlete,soviet union,japan,1964
8764,gold,Athlete,united states of america,japan,1964
8765,silver,Athlete,germany,japan,1964
8766,bronze,Athlete,united states of america,japan,1964
8767,gold,Athlete,united states of america,japan,1964
8768,silver,Athlete,united states of america,japan,1964
8769,bronze,Athlete,trinidad and tobago,japan,1964
8770,gold,Athlete,australia,japan,1964
8771,silver,Athlete,great britain,japan,1964
8772,bronze,Athlete,australia,japan,1964
8773,gold,Athlete,united states of america,japan,1964
8774,silver,Athlete,cuba,japan,1964
8775,bronze,Athlete,canada,japan,1964
8776,gold,Athlete,great britain,japan,1964
8777,silver,Athlete,united states of america,japan,1964
8778,bronze,Athlete,soviet union,japan,1964
8779,gold,Athlete,romania,japan,1964
8780,silver,Athlete,hungary,japan,1964
8781,bronze,Athlete,soviet union,japan,1964
8782,gold,Athlete,united states of america,japan,1964
8783,silver,Athlete,germany,japan,1964
8784,bronze,Athlete,germany,japan,1964
8785,gold,Athlete,united states of america,japan,1964
8786,silver,Athlete,soviet union,japan,1964
8787,bronze,Athlete,united states of america,japan,1964
8788,gold,Athlete,finland,japan,1964
8789,silver,Athlete,united states of america,japan,1964
8790,bronze,Athlete,japan,japan,1964
8791,gold,Athlete,italy,japan,1964
8792,silver,Athlete,soviet union,japan,1964
8793,bronze,Athlete,united states of america,japan,1964
8794,gold,Athlete,hungary,japan,1964
8795,silver,Athlete,united states of america,japan,1964
8796,bronze,Athlete,united states of america,japan,1964
8797,gold,Athlete,finland,japan,1964
8798,silver,Athlete,romania,japan,1964
8799,bronze,Athlete,czechoslovakia,japan,1964
8800,gold,Athlete,united states of america,japan,1964
8801,silver,Athlete,bulgaria,japan,1964
8802,bronze,Athlete,hungary,japan,1964
8803,gold,Athlete,switzerland,japan,1964
8804,silver,Athlete,germany,japan,1964
8805,bronze,Athlete,soviet union,japan,1964
8806,gold,Athlete,sweden,japan,1964
8807,silver,Athlete,hungary,japan,1964
8808,bronze,Athlete,romania,japan,1964
8809,gold,Athlete,soviet union,japan,1964
8810,silver,Athlete,romania,japan,1964
8811,bronze,Athlete,united states of america,japan,1964
8812,gold,Athlete,germany,japan,1964
8813,silver,Athlete,romania,japan,1964
8814,bronze,Athlete,soviet union,japan,1964
8815,gold,Athlete,australia,italy,1960
8816,silver,Athlete,australia,italy,1960
8817,bronze,Athlete,switzerland,italy,1960
8818,gold,Athlete,romania,italy,1960
8819,silver,Athlete,italy,italy,1960
8820,bronze,Athlete,soviet union,italy,1960
8821,gold,Athlete,austria,italy,1960
8822,silver,Athlete,switzerland,italy,1960
8823,bronze,Athlete,soviet union,italy,1960
8824,gold,Athlete,germany,italy,1960
8825,silver,Athlete,united states of america,italy,1960
8826,bronze,Athlete,venezuela,italy,1960
8827,gold,Athlete,united states of america,italy,1960
8828,silver,Athlete,finland,italy,1960
8829,bronze,Athlete,soviet union,italy,1960
8830,gold,Athlete,soviet union,italy,1960
8831,silver,Athlete,soviet union,italy,1960
8832,bronze,Athlete,japan,italy,1960
8833,gold,Athlete,soviet union,italy,1960
8834,silver,Athlete,soviet union,italy,1960
8835,bronze,Athlete,germany,italy,1960
8836,gold,Athlete,hungary,italy,1960
8837,silver,Athlete,hungary,italy,1960
8838,bronze,Athlete,united states of america,italy,1960
8839,gold,Athlete,soviet union,italy,1960
8840,silver,Athlete,australia,italy,1960
8841,bronze,Athlete,great britain,italy,1960
8842,gold,Athlete,soviet union,italy,1960
8843,silver,Athlete,soviet union,italy,1960
8844,bronze,Athlete,united states of america,italy,1960
8845,gold,Athlete,united states of america,italy,1960
8846,silver,Athlete,united states of america,italy,1960
8847,bronze,Athlete,united states of america,italy,1960
8848,gold,Athlete,germany,italy,1960
8849,silver,Athlete,united states of america,italy,1960
8850,bronze,Athlete,great britain,italy,1960
8851,gold,Athlete,soviet union,italy,1960
8852,silver,Athlete,great britain,italy,1960
